town,n,mv_sum,netcon,median_sales,median_ass,mad,mean,weighted,prd,cod,descr,tax_year,tri
36,151,24140407,37673071,0.66,10.5,0.13,0.663,0.64,1.03,18.27,Stickney,2008,3
34,104,22539920,37012025,0.65,10.4,0.15,0.633,0.61,1.04,19.41,Riverside,2008,3
21,608,160952360,273010936,0.64,10.2,0.13,0.641,0.59,1.09,18.63,Lyons,2008,3
28,669,120947645,191811879,0.64,10.3,0.07,0.649,0.63,1.03,11.47,Orland,2008,3
30,302,50490939,81302840,0.64,10.2,0.09,0.649,0.62,1.04,14.55,Palos,2008,3
39,934,116373758,189206746,0.64,10.2,0.11,0.634,0.62,1.03,17.77,Worth,2008,3
19,95,24080207,41141627,0.63,10.1,0.09,0.614,0.59,1.05,16.56,Lemont,2008,3
31,629,96438952,158823949,0.63,10.1,0.13,0.628,0.61,1.03,18.73,Proviso,2008,3
13,599,66163238,108768577,0.62,10,0.09,0.618,0.61,1.02,15.9,Bremen,2008,3
27,461,109862197,181957261,0.62,10,0.1,0.635,0.6,1.05,15.88,Oak Park,2008,3
33,98,32168945,57350807,0.62,10,0.12,0.627,0.56,1.12,15.84,River Forest,2008,3
14,65,5263172,9211500,0.59,9.5,0.12,0.604,0.57,1.06,21.93,Calumet,2008,3
32,476,55670488,94476785,0.59,9.4,0.1,0.615,0.59,1.04,18.54,Rich,2008,3
37,733,59657568,103459448,0.59,9.4,0.12,0.597,0.58,1.04,19.61,Thorton,2008,3
12,439,41311902,74509729,0.58,9.3,0.13,0.584,0.55,1.05,20.46,Bloom,2008,3
15,169,20932350,18034115,1.19,11.9,0.35,1.236,1.16,1.06,24.48,Cicero,2011,3
11,223,37385699,33649020,1.17,11.7,0.36,1.215,1.11,1.09,26.71,Berwyn,2011,3
12,241,31443497,30686556,1.12,11.2,0.27,1.111,1.02,1.08,26.26,Bloom,2011,3
14,26,3008069,3592300,1.12,11.2,0.3,1.095,0.84,1.31,29.62,Calumet,2011,3
36,155,25014298,25434098,1.11,11,0.3,1.114,0.98,1.13,26.26,Stickney,2011,3
39,641,102783053,99980998,1.09,10.9,0.27,1.116,1.03,1.09,24.27,Worth,2011,3
31,507,97390166,99403216,1.08,10.8,0.3,1.104,0.98,1.13,25.2,Proviso,2011,3
13,381,56875557,54081656,1.07,10.7,0.27,1.102,1.05,1.05,24.04,Bremen,2011,3
37,393,40691506,39984524,1.07,10.8,0.36,1.127,1.02,1.11,29.18,Thorton,2011,3
32,294,50654700,50156200,1.06,10.6,0.26,1.106,1.01,1.1,22.75,Rich,2011,3
30,256,53017679,54891077,1.03,10.3,0.18,1.058,0.97,1.1,20.46,Palos,2011,3
34,80,21989359,21588000,1.02,10.2,0.22,1.062,1.02,1.04,20.01,Riverside,2011,3
19,87,33374639,33665400,1.01,10.1,0.14,1.022,0.99,1.03,15.14,Lemont,2011,3
28,503,119849575,122643200,1.01,10.1,0.14,1.019,0.98,1.04,14.86,Orland,2011,3
21,509,182674265,194495600,1,10,0.26,1.022,0.94,1.09,24.4,Lyons,2011,3
33,81,40730726,43019250,1,10,0.22,1.019,0.95,1.08,18.33,River Forest,2011,3
27,309,96799006,102877943,0.97,9.7,0.2,0.992,0.94,1.05,21.39,Oak Park,2011,3
32,361,50672025,54938448,0.96,9.6,0.19,0.96,0.92,1.04,14.97,Rich,2014,3
12,351,45950605,49641274,0.95,9.5,0.19,0.961,0.93,1.04,16.42,Bloom,2014,3
13,627,85165672,92604380,0.94,9.4,0.16,0.944,0.92,1.03,15.19,Bremen,2014,3
28,873,189265605,203874370,0.94,9.4,0.11,0.951,0.93,1.02,11.1,Orland,2014,3
37,543,55745873,62456510,0.94,9.4,0.23,0.937,0.89,1.05,19.48,Thorton,2014,3
39,946,141683156,155516088,0.94,9.4,0.18,0.954,0.91,1.05,16.62,Worth,2014,3
19,163,53112453,58638707,0.93,9.3,0.14,0.927,0.91,1.02,12.2,Lemont,2014,3
30,416,80993562,88478650,0.93,9.3,0.15,0.94,0.92,1.03,13.6,Palos,2014,3
14,35,3542908,3884125,0.9,9,0.2,0.944,0.91,1.03,15.61,Calumet,2014,3
31,825,150352396,172907555,0.9,9,0.21,0.907,0.87,1.04,18.27,Proviso,2014,3
36,207,29112037,33459231,0.9,9,0.18,0.893,0.87,1.03,17.2,Stickney,2014,3
34,144,37451578,44934600,0.88,8.8,0.17,0.882,0.83,1.06,16.4,Riverside,2014,3
21,836,265860582,320334103,0.87,8.7,0.18,0.879,0.83,1.06,16.73,Lyons,2014,3
27,481,155247334,187261378,0.85,8.4,0.17,0.867,0.83,1.05,16.56,Oak Park,2014,3
11,292,44062244,54385445,0.83,8.2,0.2,0.849,0.81,1.05,19.07,Berwyn,2014,3
33,98,45006529,56598050,0.83,8.3,0.12,0.837,0.8,1.05,13.94,River Forest,2014,3
15,229,25390084,31735752,0.8,8,0.21,0.838,0.8,1.05,21.37,Cicero,2014,3
